experiment,source,target,base,arm,k,draw_seed,auc,fold_auc,fold_gap,fold_diverged
few-label,target-only,COAD,target-only,cold,3,14,0.6801091312132321,0.726296182522101,0.04618705130886891,True
few-label,UCEC,COAD,single,warm,3,14,0.8253048000682071,0.8074889661260067,0.01781583394220032,True
few-label,target-only,COAD,target-only,cold,3,15,0.5981754625287748,0.6002444482032366,0.0020689856744617874,False
few-label,UCEC,COAD,single,warm,3,15,0.7546252877483162,0.7366703296703296,0.017954958077986527,True
few-label,target-only,COAD,target-only,cold,3,16,0.696478813198056,0.743305571621361,0.04682675842330497,True
few-label,UCEC,COAD,single,warm,3,16,0.784423224486316,0.7789955555313053,0.005427668955010678,False
few-label,target-only,COAD,target-only,cold,3,17,0.6192343763321682,0.6723380233360372,0.05310364700386905,True
few-label,UCEC,COAD,single,warm,3,17,0.7732543268820871,0.7837108470256435,0.01045652014355647,True
few-label,target-only,COAD,target-only,cold,3,18,0.724230539687953,0.7834390742215966,0.05920853453364361,True
few-label,UCEC,COAD,single,warm,3,18,0.8351948162673714,0.8232108773384841,0.011983938928887272,True
few-label,target-only,COAD,target-only,cold,3,19,0.7866825816352631,0.7932991319614955,0.006616550326232429,False
few-label,UCEC,COAD,single,warm,3,19,0.837368914655981,0.8246341349260913,0.012734779729889678,True
few-label,target-only,COAD,target-only,cold,5,0,0.569741665956177,0.6328240836731404,0.06308241771696332,True
few-label,UCEC,COAD,single,warm,5,0,0.7534316651035895,0.751013226704885,0.002418438398704481,False
few-label,target-only,COAD,target-only,cold,5,1,0.6718390314604826,0.6532663625682493,0.0185726688922333,True
few-label,UCEC,COAD,single,warm,5,1,0.7351010316310002,0.7259492569110245,0.009151774719975636,False
few-label,target-only,COAD,target-only,cold,5,2,0.5468923181856936,0.5734949444244379,0.02660262623874432,True
few-label,UCEC,COAD,single,warm,5,2,0.7270014493989256,0.7089621992814644,0.018039250117461214,True
few-label,target-only,COAD,target-only,cold,5,3,0.6976298064626141,0.7044451082956545,0.006815301833040466,False
few-label,UCEC,COAD,single,warm,5,3,0.8038622218432944,0.7771689946928279,0.026693227150466514,True
few-label,target-only,COAD,target-only,cold,5,4,0.6538920624094124,0.6575842121025836,0.0036921496931711095,False
few-label,UCEC,COAD,single,warm,5,4,0.7571830505584449,0.7488951842596332,0.00828786629881173,False
few-label,target-only,COAD,target-only,cold,5,5,0.7004859749339245,0.7535164028843273,0.0530304279504028,True
