source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,fold_warm_auc,fold_cold_auc,fold_lift,fold_diverged,confirmatory,confirmatory_passed
STAD+UCEC,COAD,pooled,all,1,0.7827180492795635,0.7114822235484697,0.8441107511296786,0.6879955665444625,0.6142392787108876,0.7556078949612073,0.09472248273510098,0.03814690084406169,0.15291904680705934,0.7756862135988254,0.7025113018395044,0.073174911759321,True,False,
UCEC,COAD,single,0,1,0.7239321340267713,0.6590054565606617,0.7861720948077415,0.5,0.5,0.5,0.22393213402677126,0.15900545656066165,0.28617209480774153,0.7121278274302107,0.5,0.21212782743021075,True,False,
UCEC,COAD,single,10,20,0.7563155426720095,0.6985651483502432,0.8096094615909282,0.6871110069059595,0.6410926975871771,0.7299729303435928,0.06920453576605001,0.02613228962400898,0.10964979964191322,0.7486806678646302,0.7074179549623938,0.041262712902236376,True,False,
UCEC,COAD,single,25,20,0.7508440617273424,0.688749733566374,0.8050385795890528,0.7003879273595363,0.6487012426464318,0.7496529968454257,0.05045613436780616,0.009627046210248217,0.0913180471480942,0.7499546555673169,0.7137824096404533,0.03617224592686363,True,False,
UCEC,COAD,single,3,20,0.7878847301560234,0.7326700379401483,0.8392480710205473,0.6855273254326881,0.6487887927359537,0.7208346299769799,0.10235740472333532,0.058795560150055395,0.14513460226788305,0.7765826794550479,0.7001822855093709,0.07640039394567699,True,False,
UCEC,COAD,single,40,20,0.735680791201296,0.6690035915252793,0.7951430215704663,0.6931601159519141,0.6311913846022678,0.7505158687867678,0.04252067524938197,-0.0010053073578308674,0.08654179810725551,0.7353829203208797,0.7069165588438925,0.028466361476987223,True,False,
UCEC,COAD,single,5,20,0.7662993435075454,0.7100585621110068,0.8191216749083469,0.6527666467729559,0.6139524895558018,0.6917649629124392,0.11353269673458943,0.06494777900929323,0.16023003879273615,0.7558350828389309,0.6688297345625797,0.0870053482763512,True,False,
UCEC,COAD,single,all,1,0.7263193793162247,0.6538249211356467,0.7939317077329695,0.6879955665444625,0.6142392787108876,0.7556078949612073,0.03832381277176222,-0.011217921391422966,0.08783996930684618,0.726256310830293,0.7025113018395044,0.023745008990788574,True,False,
COAD,STAD,single,0,1,0.7648938363224077,0.7096822820037106,0.8172155225726653,0.5,0.5,0.5,0.2648938363224077,0.20968228200371059,0.31721552257266533,0.7775903019920293,0.5,0.2775903019920293,True,False,
COAD,STAD,single,10,20,0.8351886209029068,0.790485144815502,0.8727793882704598,0.7740672026386312,0.7350508271490416,0.8127144532055247,0.06112141826427564,0.017003774994846548,0.10271445320552455,0.8406235697856289,0.7671507920270975,0.07347277775853145,True,True,True
COAD,STAD,single,25,20,0.8670222634508349,0.8276422387136673,0.9027353251906821,0.8300350443207588,0.7877087198515772,0.8704636930529788,0.03698721913007608,0.0019457328385898505,0.07181386569779409,0.8694901036276329,0.8213623534569627,0.04812775017067017,True,False,
COAD,STAD,single,3,20,0.8054627911770769,0.7577837688105544,0.8476792800453514,0.6771078128220984,0.6401873969284684,0.7118923933209647,0.12835497835497844,0.07630720470006186,0.1795890666872809,0.8160454054797345,0.6800157823633745,0.13602962311636002,True,False,
COAD,STAD,single,40,20,0.8809446505875076,0.840427682436611,0.9170296072974642,0.8519841269841268,0.8027522031539889,0.89730223149866,0.02896052360338075,-0.006689922180993446,0.06668528396206964,0.8894816741421341,0.8491127348411764,0.04036893930095764,True,False,
COAD,STAD,single,5,20,0.8109565038136468,0.7623207199546483,0.8524000850340134,0.7308853844568131,0.6916216372912801,0.7678883864151722,0.08007111935683375,0.030324353226139036,0.1274557436611008,0.8206207895357085,0.7254219036552648,0.09519888588044367,True,False,
COAD,STAD,single,all,1,0.8854875283446711,0.8450744691816121,0.9218769325912183,0.8534322820037106,0.7988958462172748,0.9020846217274788,0.032055246340960575,-0.0038664708307565854,0.06993661100803959,0.9008350103197967,0.8715792187572173,0.029255791562579403,True,False,
COAD+UCEC,STAD,pooled,0,1,0.7628324056895486,0.701861729540301,0.8198412698412697,0.5,0.5,0.5,0.2628324056895486,0.20186172954030096,0.31984126984126976,0.761323093617966,0.5,0.261323093617966,False,False,
COAD+UCEC,STAD,pooled,10,20,0.8229926819212533,0.7705913729128014,0.8680938208616779,0.7740672026386312,0.7350508271490416,0.8127144532055247,0.04892547928262214,0.0004618893011752762,0.09846217274788724,0.8168490836440352,0.7671507920270975,0.04969829161693773,False,False,
COAD+UCEC,STAD,pooled,25,20,0.8510848278705423,0.801882923623995,0.8936111755308183,0.8300350443207588,0.7877087198515772,0.8704636930529788,0.021049783549783485,-0.025957341269841484,0.06630617398474561,0.8405496885640226,0.8213623534569627,0.019187335107059833,True,False,
COAD+UCEC,STAD,pooled,3,20,0.7950036075036075,0.7414342403628119,0.8440849180581326,0.6771078128220984,0.6401873969284684,0.7118923933209647,0.11789579468150913,0.06215174706246138,0.17197034116676965,0.7926220083727992,0.6800157823633745,0.11260622600942471,False,False,
