source,target,budget,target_share,source_cases,target_cases,defined,average_source_case_equivalence,censored,censor_at,ci_lower,ci_upper,ci_lower_censored,ci_upper_censored
STAD,COAD,50,0,50,0,True,0.15315028672603775,False,,0.09527573554673,0.21563924151484565,False,False
STAD,COAD,50,10,45,5,True,0.16071163259134,False,,0.09316057932164294,0.23287204926159424,False,False
STAD,COAD,50,20,40,10,True,0.07059406463888367,False,,-0.006264511577191945,0.14797516154760149,False,False
STAD,COAD,50,30,35,15,True,-0.060643972712892694,False,,-0.14504945827508905,0.02614528220094482,False,False
STAD,COAD,50,40,30,20,True,-0.18899782422945108,False,,-0.2852652407070579,0.1413531353135312,False,False
STAD,COAD,50,50,25,25,True,-0.4287931080045452,False,,-0.5367502996967773,-0.08120955804609224,False,False
STAD,COAD,50,60,20,30,True,-0.7563092941518463,False,,-0.8844219572684706,-0.19956941232756797,False,False
STAD,COAD,50,70,15,35,True,-0.7704125461991789,False,,-1.3579674603802445,0.054317030959551475,False,False
STAD,COAD,50,80,10,40,True,-0.8434151484687206,False,,-2.412603117671405,0.09678467034751748,False,False
STAD,COAD,50,90,5,45,True,-1.6817056126327046,False,,-4.1328227571115885,-0.18075870160343754,False,False
STAD,COAD,50,100,0,50,False,,False,,,,,
STAD,COAD,100,0,100,0,True,0.1210306281546471,False,,0.07955334305123903,0.19963031687125293,False,False
STAD,COAD,100,10,90,10,True,0.1083541437751803,False,,0.02898313986064319,0.37103324813700406,False,False
STAD,COAD,100,20,80,20,True,0.1557983718706323,False,,-0.062322241098689536,0.48384087607377585,False,False
STAD,COAD,100,30,70,30,True,0.09428158091081329,False,,-0.1909826753763167,0.41593325353798594,False,False
STAD,COAD,100,40,60,40,True,0.14150912553433131,False,,-0.11394141267416262,3.5427431597529258,False,False
STAD,COAD,100,50,50,50,True,-0.012416938430229436,False,,-0.2845809628287887,3.500078607523821,False,False
STAD,COAD,100,60,40,60,True,0.11366920801091851,False,,-0.4327673309009258,6.32,False,True
STAD,COAD,100,70,30,70,True,-0.010037677641233245,False,,-0.8060718556560841,8.093333333333334,False,True
STAD,COAD,100,80,20,80,True,-0.8190126687907793,False,,-1.7631602893671263,9.544354271699163,False,False
STAD,COAD,100,90,10,90,True,-0.8531520254892968,False,,-3.8920538542766594,22.28,False,True
STAD,COAD,100,100,0,100,False,,False,,,,,
STAD,COAD,200,0,200,0,True,0.15878258097736808,False,,0.06760470120840922,0.4376530612244895,False,False
STAD,COAD,200,10,180,20,True,0.19728817916687597,False,,0.04092321728965299,1.6266666666666667,False,True
STAD,COAD,200,20,160,40,True,0.2655958409194337,False,,-0.006564120399646267,1.705,False,True
STAD,COAD,200,30,140,60,True,0.61172768491574,False,,-0.09039549841298426,1.8057142857142858,False,True
STAD,COAD,200,40,120,80,True,1.5360921258237685,False,,-0.0734542733041297,1.9400000000000002,False,True
STAD,COAD,200,50,100,100,True,1.8004473129968062,False,,-0.1717840578570879,2.128,False,True
STAD,COAD,200,60,80,120,True,,True,2.41,0.09989816700609318,2.41,False,True
STAD,COAD,200,70,60,140,True,2.832969631089072,False,,0.19739823138196944,2.8800000000000003,False,True
STAD,COAD,200,80,40,160,True,2.3005041103335655,False,,-1.6561102341489131,3.8200000000000003,False,True
STAD,COAD,200,90,20,180,True,3.0518595013248144,False,,-4.30772333366122,6.640000000000001,False,True
STAD,COAD,200,100,0,200,False,,False,,,,,
