source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,fold_warm_auc,fold_cold_auc,fold_lift,fold_diverged,confirmatory,confirmatory_passed
COAD,STAD,single,all,1,0.8171511028653886,0.76149247577819,0.8647237682951968,0.8123067408781695,0.7445784374355803,0.8705460214388785,0.004844361987219159,-0.03896232735518451,0.051641414141414085,0.8061985363928494,0.7974861645203113,0.00871237187253815,True,False,
COAD+UCEC,STAD,pooled,0,1,0.6589363017934446,0.5881635229849516,0.7243880127808698,0.5,0.5,0.5,0.15893630179344465,0.08816352298495152,0.2243880127808699,0.63357915259067,0.5,0.13357915259067,True,False,
COAD+UCEC,STAD,pooled,10,20,0.7493583797155227,0.6919594542362398,0.8001986703772416,0.742717996289425,0.6933922129457845,0.788116367759225,0.006640383426097629,-0.05103052205730772,0.06300015460729716,0.7252278138286627,0.7256082726501044,-0.0003804588214416649,True,False,
COAD+UCEC,STAD,pooled,25,20,0.7949984539270254,0.7427095573077716,0.8407675608122036,0.8013734281591424,0.7475146232735518,0.8506297026386314,-0.00637497423211697,-0.054188504947433554,0.042054408884766144,0.770144061352749,0.7846629028558304,-0.014518841503081359,True,False,
COAD+UCEC,STAD,pooled,3,20,0.7089388785817358,0.644200937950938,0.7644421897546897,0.664548546691404,0.6252622526283242,0.7025440630797773,0.04439033189033181,-0.021651205936920263,0.10754174397031534,0.6832780562091583,0.6580088417844973,0.025269214424661013,True,False,
COAD+UCEC,STAD,pooled,40,20,0.8136569779426923,0.7614960832817975,0.8580124587713875,0.8110028860028861,0.7471027236652237,0.8653871624407338,0.002654091939806258,-0.04465870439084709,0.05112631416202825,0.7883234227341183,0.7971596320657498,-0.00883620933163154,True,False,
COAD+UCEC,STAD,pooled,5,20,0.724796433725005,0.6648658781694495,0.7780333307565451,0.69983250876108,0.658666447639662,0.7407184085755515,0.024963924963924966,-0.03750508915687463,0.08380636724386709,0.6991796911607475,0.6927463792151525,0.006433311945595044,True,False,
COAD+UCEC,STAD,pooled,all,1,0.8165842094413523,0.7618004019789735,0.8626069367140795,0.8123067408781695,0.7445784374355803,0.8705460214388785,0.004277468563182896,-0.04169372294372292,0.050873531230674125,0.7939697129911565,0.7974861645203113,-0.003516451529154807,True,False,
UCEC,STAD,single,0,1,0.5267985982271697,0.45329184704184705,0.5984912904555761,0.5,0.5,0.5,0.02679859822716968,-0.04670815295815294,0.09849129045557616,0.5054684227434814,0.5,0.00546842274348136,True,False,
UCEC,STAD,single,10,20,0.6799216656359514,0.6186522108843536,0.7395013270459698,0.742717996289425,0.6933922129457845,0.788116367759225,-0.06279633065347368,-0.11764887394351682,-0.01174680478251887,0.6579331346561805,0.7256082726501044,-0.06767513799392388,True,False,
UCEC,STAD,single,25,20,0.7531720263863122,0.6895371444032159,0.8091810966810965,0.8013734281591424,0.7475146232735518,0.8506297026386314,-0.048201401772830166,-0.09238198309626888,-0.006284400123685676,0.7254506519505138,0.7846629028558304,-0.059212250905316566,True,False,
UCEC,STAD,single,3,20,0.5966656359513502,0.5364401025561739,0.6554471371882087,0.664548546691404,0.6252622526283242,0.7025440630797773,-0.0678829107400537,-0.13198457792207793,-0.005758735312306784,0.5776201846963486,0.6580088417844973,-0.08038865708814869,True,False,
UCEC,STAD,single,40,20,0.7820114409400124,0.7180867346938777,0.840309729952587,0.8110028860028861,0.7471027236652237,0.8653871624407338,-0.028991445062873655,-0.06940070346320351,0.008032750979179288,0.7543306142855188,0.7971596320657498,-0.04282901778023096,True,False,
UCEC,STAD,single,5,20,0.6302695320552463,0.5680905354566069,0.6900945037105752,0.69983250876108,0.658666447639662,0.7407184085755515,-0.06956297670583378,-0.12865504535147404,-0.012383400329829044,0.6131501885727095,0.6927463792151525,-0.07959619064244294,True,False,
UCEC,STAD,single,all,1,0.7937538651824366,0.7301059059987632,0.8527648938363224,0.8123067408781695,0.7445784374355803,0.8705460214388785,-0.01855287569573283,-0.05700371057513909,0.019069521748093114,0.7735444785498664,0.7974861645203113,-0.02394168597044488,True,False,
COAD,UCEC,single,0,1,0.5554605518849592,0.4993159735717062,0.6101515740380878,0.5,0.5,0.5,0.05546055188495924,-0.0006840264282937933,0.1101515740380878,0.5627764434896372,0.5,0.06277644348963718,False,False,
COAD,UCEC,single,10,20,0.6253138359891178,0.585865793820443,0.6612651574038088,0.6403692188107268,0.6143802710843375,0.6659505198212202,-0.015055382821609009,-0.047960066070734456,0.016258428876797494,0.6308948258881758,0.6460497811524989,-0.015154955264323089,False,False,
COAD,UCEC,single,25,20,0.6881548775748153,0.651037577730276,0.7243389040031093,0.6925194325689856,0.6593661824718228,0.7238341673144187,-0.004364554994170322,-0.029825252623396917,0.020048848620287576,0.6925914485208766,0.694572732655969,-0.001981284135092354,False,False,
COAD,UCEC,single,3,20,0.5910104935872521,0.5471208705790905,0.6321365380878351,0.5797823552273611,0.5596504809560824,0.5987534249902837,0.011228138359891005,-0.027777472794403426,0.04988799553050916,0.6023149936673464,0.5856935766151701,0.016621417052176346,True,False,
COAD,UCEC,single,40,20,0.6970685969685192,0.658870190439176,0.733171273804897,0.6983356004663815,0.6645170034978622,0.7310124368441508,-0.0012670034978623512,-0.02384704139137201,0.020515327438787347,0.7028897413719929,0.703530800070929,-0.0006410586989361589,False,False,
COAD,UCEC,single,5,20,0.6060056354450059,0.5648918334628836,0.6459115089389817,0.6002069568596968,0.5798667168674698,0.6208416245627673,0.005798678585309025,-0.03203648464827047,0.043053342401865674,0.6113247982442093,0.6068459499112578,0.004478848332951424,False,False,
COAD,UCEC,single,all,1,0.713855421686747,0.6660882238631948,0.7599528760202099,0.717897396035756,0.6690614069179946,0.7621074621064905,-0.004041974349008992,-0.02394772638942863,0.016090167120093257,0.72498231527596,0.7267031207904175,-0.001720805514457524,True,False,
COAD+STAD,UCEC,pooled,0,1,0.5131947143412359,0.4590342013214147,0.5656743101438009,0.5,0.5,0.5,0.01319471434123587,-0.0409657986785853,0.06567431014380092,0.5128665761989382,0.5,0.012866576198938162,False,False,
