budget,target_share,draw_seed,raw_auc,rank_auc,rank_gap,rank_diverged
100,20,9,0.73850752422181,0.7321686250257678,0.006338899196042136,False
100,20,10,0.7709750566893424,0.7452329416615129,0.025742115027829526,True
100,20,11,0.7998350855493712,0.8047052154195011,0.004870129870129913,False
100,20,12,0.7867450010307152,0.7732426303854874,0.013502370645227857,True
100,20,13,0.7551535765821479,0.7861781076066789,0.031024531024531066,True
100,20,14,0.7344877344877345,0.7396670789527933,0.005179344465058744,False
100,20,15,0.7787569573283858,0.7651257472686045,0.013631210059781296,True
100,20,16,0.7136672850958564,0.721243042671614,0.007575757575757569,False
100,20,17,0.6934652648938362,0.6874871160585446,0.005978148835291575,False
100,20,18,0.7064522778808493,0.7115543186971758,0.005102040816326481,False
100,20,19,0.7227375798804371,0.711734693877551,0.011002886002886125,True
100,30,0,0.7293856936714079,0.7347454133168418,0.0053597196454339135,False
100,30,1,0.7511853226138941,0.7588126159554731,0.007627293341578967,False
100,30,2,0.7196454339311482,0.7297464440321583,0.010101010101010055,True
100,30,3,0.7318078746650175,0.7276077097505669,0.0042001649144506326,False
100,30,4,0.7109874252731395,0.7362657184085756,0.02527829313543606,True
100,30,5,0.7285095856524428,0.7466501752216037,0.01814058956916087,True
100,30,6,0.7247990105132962,0.7320140177283034,0.00721500721500723,False
100,30,7,0.6728509585652442,0.7015563801278086,0.028705421562564393,True
100,30,8,0.7698412698412699,0.7743764172335601,0.0045351473922902175,False
100,30,9,0.761595547309833,0.764378478664193,0.002782931354359919,False
100,30,10,0.7991651205936919,0.7734745413316841,0.025690579262007796,True
100,30,11,0.8113275613275613,0.8170222634508348,0.0056947021232734985,False
100,30,12,0.7726757369614513,0.7663368377654092,0.006338899196042136,False
100,30,13,0.7858173572459287,0.8052978767264481,0.01948051948051943,True
100,30,14,0.7679859822716966,0.7695320552463409,0.0015460729746443747,False
100,30,15,0.8024634096062667,0.79143475572047,0.011028653885796769,True
100,30,16,0.7336631622345908,0.7600494743351887,0.02638631210059783,True
100,30,17,0.7271696557410843,0.7110647289218719,0.016104926819212384,True
100,30,18,0.7418058132343847,0.7588641517212946,0.017058338486909963,True
100,30,19,0.7206761492475778,0.70926097711812,0.011415172129457862,True
100,40,0,0.7559266130694702,0.765563801278087,0.00963718820861681,False
100,40,1,0.8035971964543394,0.817408781694496,0.013811585240156687,True
100,40,2,0.7661306947021232,0.7648938363224078,0.0012368583797154331,False
100,40,3,0.7395382395382395,0.7340496804782518,0.0054885590599876855,False
100,40,4,0.7063492063492064,0.7507215007215007,0.044372294372294285,True
100,40,5,0.8029272314986601,0.8010204081632654,0.001906823335394714,False
100,40,6,0.7486600700886414,0.7573180787466501,0.008658008658008698,False
100,40,7,0.7442795299938157,0.7659503195217481,0.021670789527932333,True
100,40,8,0.8200371057513914,0.8151669758812616,0.004870129870129802,False
100,40,9,0.7604617604617604,0.7609255823541536,0.0004638218923932458,False
100,40,10,0.820088641517213,0.7971809936095651,0.022907647907647877,True
100,40,11,0.8243145743145743,0.829210472067615,0.004895897753040668,False
100,40,12,0.7609255823541539,0.7590187590187589,0.001906823335394936,False
100,40,13,0.8231292517006802,0.8353947639661924,0.012265512265512202,True
100,40,14,0.7796846011131725,0.7830859616573901,0.00340136054421758,False
100,40,15,0.8175633889919605,0.8202690166975881,0.0027056277056276556,False
100,40,16,0.7075860647289218,0.7406204906204906,0.0330344258915688,True
100,40,17,0.7105236033807462,0.6991857349000206,0.0113378684807256,True
100,40,18,0.7662853019995877,0.7842197485054628,0.017934446505875168,True
100,40,19,0.7260874046588333,0.744047619047619,0.0179602143887857,True
100,50,0,0.7760255617398475,0.790146361574933,0.014120799835085518,True
100,50,1,0.8025664811379097,0.8176664605236035,0.01509997938569374,True
100,50,2,0.7704081632653061,0.7603586889301175,0.010049474335188657,True
100,50,3,0.7642754071325499,0.763476602762317,0.0007988043702329417,False
100,50,4,0.7362914862914862,0.7653061224489796,0.029014636157493334,True
100,50,5,0.7822613894042466,0.7724180581323439,0.009843331271902733,False
100,50,6,0.8007627293341579,0.8103999175427747,0.00963718820861681,False
100,50,7,0.7304164089878376,0.7349773242630384,0.004560915275200861,False
100,50,8,0.825139146567718,0.8118171511028655,0.013321995464852576,True
100,50,9,0.7960214388785817,0.7914605236033807,0.004560915275200972,False
100,50,10,0.7988559059987631,0.7823644609358893,0.01649144506287381,True
100,50,11,0.8171511028653887,0.8383065347351062,0.021155431869717467,True
100,50,12,0.7363430220573077,0.7544836116264687,0.01814058956916098,True
100,50,13,0.8272521129663987,0.8335394763966193,0.006287363430220627,False
100,50,14,0.7996289424860854,0.8071273964131106,0.007498453927025195,False
100,50,15,0.7987012987012987,0.7970263863121007,0.0016749123891980355,False
100,50,16,0.7442279942279942,0.770511234796949,0.026283240568954813,True
100,50,17,0.7124819624819625,0.7062203669346526,0.006261595547309873,False
100,50,18,0.7833436404864975,0.8028756957328386,0.01953205524634105,True
100,50,19,0.7320655534941249,0.746624407338693,0.01455885384456801,True
100,60,0,0.7974129045557616,0.8040867862296434,0.006673881673881721,False
100,60,1,0.8331271902700474,0.8276386312100598,0.0054885590599876855,False
100,60,2,0.8038033395176252,0.8061739847454132,0.0023706452277880707,False
100,60,3,0.7845804988662131,0.7757421150278294,0.008838383838383645,False
100,60,4,0.7610286538857967,0.7922077922077921,0.03117913832199548,True
100,60,5,0.7710781282209853,0.7597917955060811,0.011286332714904201,True
100,60,6,0.8321995464852607,0.829107400535972,0.0030921459492887493,False
100,60,7,0.7895794681508966,0.8106833642547928,0.02110389610389618,True
100,60,8,0.8465264893836322,0.8383065347351062,0.008219954648525984,False
100,60,9,0.8218923933209648,0.8233096268810554,0.0014172335600906028,False
100,60,10,0.7969490826633684,0.7776231704803133,0.019325912183055127,True
100,60,11,0.8190579262007832,0.8328437435580293,0.013785817357246044,True
100,60,12,0.73433312719027,0.7377860235003092,0.0034528963100391996,False
100,60,13,0.8544629973201401,0.8676561533704391,0.013193156050299026,True
100,60,14,0.8189033189033189,0.8241857349000206,0.00528241599670165,False
100,60,15,0.7991135848278705,0.8000412286126571,0.0009276437847866026,False
100,60,16,0.798082869511441,0.8176406926406926,0.019557823129251584,True
100,60,17,0.7379921665635951,0.7297206761492475,0.008271490414347604,False
100,60,18,0.7864873222016079,0.7998866213151927,0.01339929911358484,True
100,60,19,0.7483508554937126,0.7679086786229643,0.019557823129251695,True
100,70,0,0.8136982065553494,0.8150381364667078,0.0013399299113583396,False
100,70,1,0.8430220573077716,0.8562925170068028,0.013270459699031179,True
100,70,2,0.8323026180169036,0.8250876108018965,0.007215007215007119,False
100,70,3,0.7960729746444032,0.7839620696763554,0.012110904968047786,True
100,70,4,0.7895794681508967,0.805194805194805,0.015615337043908273,True
100,70,5,0.7872603586889301,0.764584621727479,0.022675736961451087,True
100,70,6,0.8090599876314162,0.8145485466914038,0.005488559059987574,False
100,70,7,0.8249845392702536,0.8238507524221811,0.0011337868480725266,False
100,70,8,0.8216347144918573,0.8279478458049887,0.0063131313131313815,False
100,70,9,0.8450319521748093,0.8323026180169036,0.01272933415790567,True
100,70,10,0.7907647907647907,0.7750979179550608,0.015666872809729893,True
100,70,11,0.8447227375798804,0.8535095856524428,0.00878684807256247,False
100,70,12,0.7431972789115646,0.7361884147598432,0.007008864151721417,False
100,70,13,0.8518346732632447,0.8510874046588331,0.000747268604411544,False
100,70,14,0.8161719233147805,0.8233096268810555,0.007137703566274967,False
100,70,15,0.8234900020614306,0.8208101422387136,0.0026798598227170123,False
100,70,16,0.7978251906823335,0.8148835291692434,0.017058338486909963,True
100,70,17,0.7423211708925994,0.737605648319934,0.004715522572665387,False
100,70,18,0.8037002679859823,0.8156823335394763,0.011982065553494015,True
100,70,19,0.7666975881261595,0.788265306122449,0.021567717996289537,True
100,80,0,0.8276643990929705,0.8203463203463204,0.007318078746650136,False
100,80,1,0.8437950937950938,0.8537672644815502,0.009972170686456394,False
100,80,2,0.833178726035869,0.8325602968460111,0.0006184291898578831,False
100,80,3,0.7850443207586064,0.7823129251700679,0.002731395588538521,False
100,80,4,0.7982374768089053,0.8109152752009894,0.01267779839208405,True
100,80,5,0.7929292929292929,0.775381364667079,0.017547928262213963,True
100,80,6,0.818697175840033,0.8216862502576787,0.002989074417645732,False
100,80,7,0.8437950937950938,0.8409090909090908,0.0028860028860029363,False
100,80,8,0.8317872603586889,0.831091527520099,0.0006957328385899242,False
100,80,9,0.8504432075860646,0.8432539682539684,0.007189239332096253,False
100,80,10,0.7809729952587096,0.7891156462585033,0.008142650999793721,False
100,80,11,0.8580189651618223,0.8559317666460525,0.0020871985157697726,False
100,80,12,0.7735518449804164,0.7678571428571428,0.0056947021232736095,False
100,80,13,0.8577612863327149,0.8544629973201401,0.0032982890125747844,False
100,80,14,0.8081323438466296,0.8076427540713256,0.0004895897753040002,False
100,80,15,0.8240568954854669,0.8187487116058544,0.005308183879612516,False
100,80,16,0.7904555761698618,0.799654710368996,0.009199134199134207,False
100,80,17,0.7674706246134817,0.767650999793857,0.00018037518037528066,False
100,80,18,0.8064831993403422,0.8129767058338486,0.00649350649350644,False
100,80,19,0.7603586889301175,0.7687847866419295,0.00842609771181202,False
100,90,0,0.8415790558647701,0.8316584209441352,0.009920634920634885,False
100,90,1,0.8753349824778396,0.8821119356833642,0.006776953205524627,False
100,90,2,0.8429705215419501,0.8484848484848485,0.00551432694289844,False
100,90,3,0.8124613481756339,0.8121005978148835,0.0003607503607503393,False
100,90,4,0.830292723149866,0.830292723149866,0.0,False
100,90,5,0.7925170068027211,0.7896567717996289,0.002860235003092182,False
100,90,6,0.8189033189033189,0.8288239538239538,0.009920634920634885,False
100,90,7,0.8561121418264276,0.8551071943929086,0.0010049474335189768,False
100,90,8,0.8207586064728921,0.8118171511028653,0.008941455370026774,False
100,90,9,0.8370954442383014,0.8342352092352092,0.002860235003092182,False
100,90,10,0.7788600288600288,0.794114615543187,0.015254586683158156,True
100,90,11,0.8709544423830138,0.8607245928674498,0.010229849515563938,True
100,90,12,0.8130797773654916,0.8236961451247166,0.01061636775922492,True
100,90,13,0.8377654091939806,0.8431766646052361,0.005411255411255533,False
100,90,14,0.8059678416821273,0.8064058956916099,0.0004380540094826024,False
