source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,rank_warm_auc,rank_cold_auc,rank_lift,rank_diverged,confirmatory,permutation_p
UCEC,COAD,single,10,20,0.5922670304373775,0.5227326498422712,0.659265122772615,0.7174204962059852,0.6727932368488363,0.7587723271378634,-0.12515346576860775,-0.18891673416318536,-0.06220202063261997,0.6267691192770057,0.7510657345042204,-0.12429661522721469,True,False,
UCEC,COAD,single,25,20,0.6656279307698865,0.5950613863074431,0.7311722546679171,0.7378421007758548,0.679913355784807,0.7911735868360473,-0.0722141700059683,-0.1309108832807572,-0.014393543780373443,0.6900076732884304,0.7497975104441982,-0.0597898371557678,True,False,
UCEC,COAD,single,3,20,0.5701530394748061,0.5042968283741155,0.6387616165060959,0.6613138374968028,0.6260507609344359,0.694428819592463,-0.09116079802199673,-0.15935581677892405,-0.021749456475402995,0.5822842953363458,0.695162631085344,-0.1128783357489982,True,False,
UCEC,COAD,single,40,20,0.6916766135220394,0.6215922606360303,0.7561718816608406,0.7505520504731861,0.6923587368914655,0.8077065926336432,-0.05887543695114672,-0.11824798576178702,-0.004434201551709515,0.722325006394407,0.7589905362776026,-0.0366655298831956,True,False,
UCEC,COAD,single,5,20,0.572842953363458,0.505864630403274,0.6419533847727853,0.6755392616591354,0.6342388524170861,0.7133903146048257,-0.10269630829567733,-0.1675825944240769,-0.03697779009293189,0.5864609088583851,0.7107745758376673,-0.12431366697928226,True,False,
UCEC,COAD,single,all,1,0.7145110410094637,0.6454503794014835,0.7812771762298576,0.7672862136584534,0.6975786512064115,0.8351308721971181,-0.05277517264898968,-0.11160798021996761,0.0020046466024383892,0.7454173416318526,0.7738085088242815,-0.028391167192428957,True,False,
COAD,STAD,single,0,1,0.7595856524427953,0.6935618944547517,0.8202947845804989,0.5,0.5,0.5,0.2595856524427953,0.19356189445475164,0.32029478458049887,0.7649453720882292,0.480674087816945,0.28427128427128423,True,False,
COAD,STAD,single,10,20,0.8020253555967841,0.7497380050505051,0.8512945140177285,0.7878014842300556,0.7532399247577819,0.8206327303648732,0.014223871366728535,-0.03129271026592463,0.06143752576788285,0.8101886209029064,0.7893990929705215,0.020789527932384977,False,True,0.001
COAD,STAD,single,25,20,0.8292362399505258,0.7757223381776952,0.8748637523191094,0.8464363017934445,0.807348227169656,0.8835896593485879,-0.01720006184291878,-0.05562442022263435,0.020592661306947025,0.8362824675324674,0.847723407544836,-0.011440940012368617,False,False,
COAD,STAD,single,3,20,0.775172644815502,0.7162080627705626,0.8311259276437847,0.6539759843331272,0.6279767058338488,0.6814866135848279,0.12119666048237476,0.06639610389610373,0.17666048237476806,0.7833578128220985,0.6554756751185322,0.12788213770356627,False,False,
COAD,STAD,single,40,20,0.8388090084518656,0.7830203179756751,0.886858766233766,0.8607168625025767,0.8189277983920842,0.9019447665429811,-0.021907854050711162,-0.06111008039579467,0.017922206761492393,0.8462005256648114,0.8614164605236032,-0.015215934858791802,False,False,
COAD,STAD,single,5,20,0.7841965574108433,0.7268770614306329,0.8378673855905998,0.7173907441764584,0.6843621160585446,0.7529274891774892,0.06680581323438484,0.014233469903112684,0.12019364564007415,0.790630797773655,0.7248685837971551,0.06576221397649984,False,False,
COAD,STAD,single,all,1,0.8341579055864771,0.7730351989280562,0.8857516491445062,0.8584312512883941,0.8108598742527314,0.9019313028241599,-0.024273345701917082,-0.06772186147186149,0.01979231086373943,0.8491032776747061,0.8597196454339311,-0.010616367759225032,True,False,
COAD+UCEC,STAD,pooled,0,1,0.7345908060193774,0.6665120593692022,0.7961361059575345,0.5,0.5,0.5,0.23459080601937743,0.16651205936920221,0.2961361059575345,0.7432745825602969,0.480674087816945,0.2626004947433519,True,False,
COAD+UCEC,STAD,pooled,10,20,0.7914837146980004,0.729670557616986,0.8444514661925377,0.7878014842300556,0.7532399247577819,0.8206327303648732,0.0036822304679448026,-0.05139462224283645,0.051237373737373776,0.7931161100803957,0.7893990929705215,0.0037170171098742655,False,False,
COAD+UCEC,STAD,pooled,25,20,0.8169629973201402,0.7585313595135024,0.8677136801690372,0.8464363017934445,0.807348227169656,0.8835896593485879,-0.029473304473304318,-0.07992314728921886,0.013843601834673033,0.8165751906823335,0.847723407544836,-0.031148216862502465,False,False,
COAD+UCEC,STAD,pooled,3,20,0.7708359101216246,0.7060828308596165,0.8267193619872191,0.6539759843331272,0.6279767058338488,0.6814866135848279,0.11685992578849735,0.05446576736755317,0.17375141723356016,0.7727169655741084,0.6554756751185322,0.11724129045557619,False,False,
COAD+UCEC,STAD,pooled,40,20,0.8249948464234178,0.7664350778190063,0.8771894325912181,0.8607168625025767,0.8189277983920842,0.9019447665429811,-0.035722016079158925,-0.08565018810554556,0.009782068130282397,0.8235982271696557,0.8614164605236032,-0.03781823335394752,False,False,
COAD+UCEC,STAD,pooled,5,20,0.7749768089053803,0.7116415429808288,0.8309422670583386,0.7173907441764584,0.6843621160585446,0.7529274891774892,0.057586064728921915,-0.00628066378066382,0.1121087791177074,0.777888579674294,0.7248685837971551,0.053019995877138903,False,False,
COAD+UCEC,STAD,pooled,all,1,0.8245722531436818,0.7655045351473923,0.8799242424242424,0.8584312512883941,0.8108598742527314,0.9019313028241599,-0.03385899814471238,-0.08375721500721495,0.01510126777983916,0.8217893217893217,0.8597196454339311,-0.037930323644609354,False,False,
UCEC,STAD,single,0,1,0.5205627705627706,0.44063981653267364,0.5958668315811172,0.5,0.5,0.5,0.02056277056277056,-0.05936018346732633,0.09586683158111725,0.5454545454545454,0.480674087816945,0.06478045763760043,True,False,
UCEC,STAD,single,10,20,0.6775613275613276,0.6069863816738817,0.745384392393321,0.7878014842300556,0.7532399247577819,0.8206327303648732,-0.110240156668728,-0.17672019944341372,-0.050124458874458995,0.6964775304061018,0.7893990929705215,-0.09292156256441964,True,False,
UCEC,STAD,single,25,20,0.7577741702741704,0.6905185142238713,0.81646078128221,0.8464363017934445,0.807348227169656,0.8835896593485879,-0.08866213151927416,-0.1465914244485672,-0.03564806225520518,0.7729282622139765,0.847723407544836,-0.07479514533085951,True,False,
UCEC,STAD,single,3,20,0.6116367759224902,0.535873531230674,0.6834330550401977,0.6539759843331272,0.6279767058338488,0.6814866135848279,-0.042339208410636986,-0.12309575345289636,0.03740111574933004,0.6331233250876107,0.6554756751185322,-0.02235235003092151,True,False,
UCEC,STAD,single,40,20,0.7958049886621315,0.7305983946608945,0.8561923443619871,0.8607168625025767,0.8189277983920842,0.9019447665429811,-0.06491187384044528,-0.11921118068439508,-0.013367862296434043,0.8092171717171717,0.8614164605236032,-0.05219928880643154,True,False,
UCEC,STAD,single,5,20,0.6342609771181199,0.560065643681715,0.7058792645846217,0.7173907441764584,0.6843621160585446,0.7529274891774892,-0.08312976705833852,-0.15807810245310253,-0.014329133168419187,0.656146928468357,0.7248685837971551,-0.06872165532879815,True,False,
UCEC,STAD,single,all,1,0.8062770562770563,0.7399440836940837,0.8674525870954443,0.8584312512883941,0.8108598742527314,0.9019313028241599,-0.05215419501133789,-0.10513553906411044,-0.0006648113790971609,0.8190579262007833,0.8597196454339311,-0.040661719233147764,True,False,
COAD,UCEC,single,0,1,0.587990672366887,0.5322760396424407,0.6380353672755538,0.5,0.5,0.5,0.08799067236688696,0.032276039642440704,0.1380353672755538,0.5869510299261562,0.5018072289156627,0.08514380101049357,False,False,
COAD,UCEC,single,10,20,0.6527720559657987,0.6125223960357559,0.6916102555382821,0.6167907112320248,0.5905619656043529,0.6408214389817335,0.0359813447337739,-0.0013037796346678343,0.07212905654877555,0.6588670812281383,0.622204139137194,0.03666294209094434,False,False,
COAD,UCEC,single,25,20,0.6943655266226194,0.6569099057520403,0.7298690487757481,0.6704061406917996,0.6396614117761367,0.699413743684415,0.02395938593081981,-0.003534565682082974,0.051050573260785104,0.7024893120870579,0.67919597745822,0.02329333462883787,False,False,
COAD,UCEC,single,3,20,0.6150660707345511,0.5731831276719783,0.6540164933929266,0.5591012436844152,0.542102603964244,0.5742075155460551,0.055964827050135946,0.012672391177613688,0.09684060435289536,0.6224606490478041,0.5673129615235134,0.05514768752429067,False,False,
COAD,UCEC,single,40,20,0.6978332685581033,0.6576492178390982,0.7340047366886903,0.692213369607462,0.6594380829770696,0.7218544986397203,0.0056198989506413,-0.018636465215701583,0.030584264477263964,0.7042290128254957,0.7005251651768366,0.0037038476486590532,False,False,
COAD,UCEC,single,5,20,0.624913525068014,0.5822999902837155,0.6643726438010105,0.5767712786630391,0.5580872522347454,0.5950083074232412,0.04814224640497489,0.006761756704236352,0.08593047998445402,0.6301870384764865,0.5838597940147687,0.046327244461717765,False,False,
COAD,UCEC,single,all,1,0.7379712397979012,0.6910104935872522,0.7822284298484259,0.754858142246405,0.7086849008938982,0.798236494364555,-0.01688690244850377,-0.0455956082394092,0.011545375048581495,0.7390303148076176,0.7571026039642441,-0.01807228915662651,False,False,
COAD+STAD,UCEC,pooled,0,1,0.5694325689856199,0.5176457442673921,0.6219209094442285,0.5,0.5,0.5,0.06943256898561989,0.017645744267392103,0.12192090944422854,0.556344733773805,0.5018072289156627,0.05453750485814235,True,False,
COAD+STAD,UCEC,pooled,10,20,0.6250087446560435,0.5804383987563156,0.6647508501748931,0.6167907112320248,0.5905619656043529,0.6408214389817335,0.008218033424018722,-0.03308326855810337,0.04820411484648258,0.627629712397979,0.622204139137194,0.005425573260785077,False,False,
COAD+STAD,UCEC,pooled,25,20,0.6806645938593082,0.6390703458997279,0.7184035415856976,0.6704061406917996,0.6396614117761367,0.699413743684415,0.010258453167508619,-0.025791901476875306,0.04423950641274773,0.6839258647493199,0.67919597745822,0.00472988729109991,False,False,
COAD+STAD,UCEC,pooled,3,20,0.5899193548387096,0.5465608725223474,0.6309020841430235,0.5591012436844152,0.542102603964244,0.5742075155460551,0.030818111154294447,-0.01429571511853892,0.07366899047804122,0.5892955693742714,0.5673129615235134,0.021982607850758007,False,False,
COAD+STAD,UCEC,pooled,40,20,0.689771667314419,0.6460168334628837,0.7291649339292654,0.692213369607462,0.6594380829770696,0.7218544986397203,-0.00244170229304308,-0.034272736105712985,0.02713228721336961,0.6934760007773029,0.7005251651768366,-0.007049164399533736,False,False,
COAD+STAD,UCEC,pooled,5,20,0.5956704236300039,0.5514708025650992,0.6357485668480372,0.5767712786630391,0.5580872522347454,0.5950083074232412,0.018899144966964765,-0.02589440827827446,0.061059415079673614,0.5973489117761368,0.5838597940147687,0.013489117761368075,False,False,
COAD+STAD,UCEC,pooled,all,1,0.7352701127089001,0.6849582199766809,0.779560823940925,0.754858142246405,0.7086849008938982,0.798236494364555,-0.019588029537504936,-0.05680382821609027,0.013100466381655696,0.7432957636999611,0.7571026039642441,-0.013806840264283027,False,False,
STAD,UCEC,single,0,1,0.589623008161679,0.5365502331908277,0.6410449863972018,0.5,0.5,0.5,0.08962300816167901,0.03655023319082777,0.14104498639720173,0.5808103381267002,0.5018072289156627,0.07900310921103759,True,False,
STAD,UCEC,single,10,20,0.6283346288379323,0.5871349106101827,0.668061674115818,0.6167907112320248,0.5905619656043529,0.6408214389817335,0.011543917605907561,-0.024631801399145052,0.048426714924212806,0.6333992421298097,0.622204139137194,0.011195102992615724,False,False,
STAD,UCEC,single,25,20,0.6828993392926545,0.6442323406529346,0.7206938884570541,0.6704061406917996,0.6396614117761367,0.699413743684415,0.012493198600854849,-0.017750412942090964,0.04257267780800613,0.6852982899339293,0.67919597745822,0.006102312475709248,False,False,
STAD,UCEC,single,3,20,0.6033734939759035,0.5618072046249515,0.6440281772250291,0.5591012436844152,0.542102603964244,0.5742075155460551,0.04427225029148829,0.0009530946366109377,0.08352261465215707,0.6055684026428294,0.5673129615235134,0.038255441119316,False,False,
STAD,UCEC,single,40,20,0.6966789739603576,0.6568834774582201,0.7351610959968908,0.692213369607462,0.6594380829770696,0.7218544986397203,0.004465604352895558,-0.023275893898173368,0.03192282841041569,0.7029853284104159,0.7005251651768366,0.0024601632335793377,False,False,
STAD,UCEC,single,5,20,0.6053517294986398,0.5639683492032647,0.6463363534784299,0.5767712786630391,0.5580872522347454,0.5950083074232412,0.02858045083560068,-0.01237835211814987,0.06775847745822001,0.6089885347842985,0.5838597940147687,0.025128740769529756,False,False,
STAD,UCEC,single,all,1,0.7472794403420132,0.7013112125923047,0.791317528177225,0.754858142246405,0.7086849008938982,0.798236494364555,-0.007578701904391805,-0.03733336572094824,0.022255149630781124,0.7540808394869802,0.7571026039642441,-0.0030217644772638774,False,False,
