permutation,null_mean_lift
703,-0.11294836116264687
704,-0.13276901669758806
705,-0.16349464028035457
706,-0.12917955060812203
707,-0.13450577200577196
708,-0.12265769944341369
709,-0.1580705009276438
710,-0.1726396619253762
711,-0.2199288806431663
712,-0.1812255205112348
713,-0.22260358688930118
714,-0.07677540713254995
715,-0.13765203050917338
716,-0.17792723149866005
717,-0.1330292723149866
718,-0.10194032158317874
719,-0.1386234796949083
720,-0.1752396413110699
721,-0.08511904761904758
722,-0.11258245722531439
723,-0.14859049680478248
724,-0.15648319934034222
725,-0.19550092764378474
726,-0.15148938363224076
727,-0.1663110698824984
728,-0.18022830344258917
729,-0.15082714904143474
730,-0.1672464440321583
731,-0.11884662956091527
732,-0.1843408575551433
733,-0.14355029890744175
734,-0.12651772830344257
735,-0.21157493300350438
736,-0.1331787260358689
737,-0.1579777365491651
738,-0.05708616780045352
739,-0.10678468357039783
740,-0.1285482374768089
741,-0.1195784374355803
742,-0.17047000618429187
743,-0.08704648526077094
744,-0.07830859616573901
745,-0.08558029272314986
746,-0.13019222840651407
747,-0.10207173778602348
748,-0.11863017934446503
749,-0.09158420944135229
750,-0.1449237270665842
751,-0.1763966192537621
752,-0.09949237270665844
753,-0.283531746031746
754,-0.17923108637394353
755,-0.18401618223046792
756,-0.1839543393114821
757,-0.15174963924963922
758,-0.15100237064522776
759,-0.1598639455782313
760,-0.1923443619872191
761,-0.14349103277674707
762,-0.1333513708513708
763,-0.11094619666048237
764,-0.18709286745001028
765,-0.195892599464028
766,-0.09785095856524424
767,-0.13958462172747885
768,-0.08839929911358485
769,-0.1706039991754277
770,-0.21631106988249843
771,-0.19622500515357655
772,-0.23094980416408983
773,-0.20359204287775717
774,-0.1608843537414966
775,-0.07496134817563388
776,-0.22265512265512263
777,-0.13803597196454337
778,-0.1570140177283034
779,-0.1259997938569367
780,-0.12982632446918158
781,-0.035920428777571616
782,-0.1322794269222841
783,-0.1819470212327355
784,-0.10488559059987632
785,-0.15741857349000205
786,-0.1670763760049474
787,-0.12106266749123892
788,-0.11092815914244485
789,-0.03878839414553699
790,-0.09496753246753245
791,-0.14879406307977736
792,-0.19814728921871777
793,-0.14465831787260353
794,-0.1541924345495774
795,-0.1251133786848073
796,-0.14129303236446095
797,-0.11446351267779838
798,-0.15086837765409195
799,-0.1863069470212327
800,-0.07476808905380332
801,-0.10529787672644816
802,-0.17593795093795092
803,-0.15091218305504017
804,-0.14555761698618838
805,-0.1522392290249433
806,-0.12028447742733457
807,-0.1649788703360132
808,-0.0681508967223253
809,-0.09315347351061633
810,-0.148538961038961
811,-0.1437615955473098
812,-0.11076324469181609
813,-0.11163935271078126
814,-0.19198876520305092
815,-0.1718949701092558
816,-0.1131029684601113
817,-0.11857349000206144
818,-0.06783395176252316
819,-0.11076839826839824
820,-0.10231910946196658
821,-0.08895330859616572
822,-0.09366367759224903
823,-0.13416305916305915
824,-0.15878942486085343
825,-0.13384611420325704
826,-0.09133941455370027
827,-0.09160997732426304
828,-0.07684498041640897
829,-0.10290661719233148
830,-0.10807307771593484
831,-0.08057359307359306
832,-0.15011080189651613
833,-0.11531900639043494
834,-0.23261440940012368
835,-0.17513141620284473
836,-0.09592867450010303
837,-0.0883194186765615
838,-0.1353432282003711
839,-0.2377499484642341
840,-0.15594465058750773
841,-0.09600340136054422
842,-0.08642032570603997
843,-0.06999072356215215
844,-0.09619923727066582
845,-0.20182694289837144
846,-0.14558338486909916
847,-0.18170480313337456
848,-0.19419449598021027
849,-0.12858688930117496
850,-0.1542697381983096
851,-0.11555607091321378
852,-0.15952896310039164
853,-0.15818645640074208
854,-0.13320707070707072
855,-0.18565244279529994
856,-0.0692383013811585
857,-0.14335961657390225
858,-0.09995877138734281
859,-0.1824649556792414
860,-0.13835291692434545
861,-0.148572459286745
862,-0.14699546485260764
863,-0.07400535971964542
864,-0.19508348794063074
865,-0.14799010513296226
866,-0.20112090290661722
867,-0.10029117707689136
868,-0.12130746237889092
869,-0.10027571634714491
870,-0.10748041640898783
871,-0.12118635332921043
872,-0.09235209235209235
873,-0.07609255823541536
874,-0.16270614306328596
875,-0.0948361162646877
876,-0.16335034013605437
877,-0.1624716553287982
878,-0.17209080601937746
879,-0.08150896722325292
880,-0.13591012162440735
881,-0.13394403215831785
882,-0.07476551226551224
883,-0.06575963718820858
884,-0.13283085961657395
885,-0.16003401360544214
886,-0.06444805194805195
887,-0.18057616986188416
888,-0.08196248196248193
889,-0.18928056070913213
890,-0.09149917542774684
891,-0.07258297258297258
892,-0.18986549165120592
893,-0.16763038548752834
894,-0.11474695938981652
895,-0.12443826015254586
896,-0.11020923520923517
897,-0.13562925170068024
898,-0.16243558029272315
899,-0.12442537621109051
900,-0.09866780045351475
901,-0.07243609565038134
902,-0.14594928880643165
903,-0.11754277468563182
904,-0.1502061430632859
905,-0.11611523397237682
906,-0.10426200783343638
907,-0.1344645433931148
908,-0.1631545042259328
909,-0.06834157905586476
910,-0.136281179138322
911,-0.16896000824572252
912,-0.11511544011544009
913,-0.09394197072768502
914,-0.09331323438466296
915,-0.11861471861471859
916,-0.09129818594104307
917,-0.14622500515357656
918,-0.0345573077715935
919,-0.18151412079983503
920,-0.05586219336219335
921,-0.1368326118326119
922,-0.08679138321995464
923,-0.1323309626881055
924,-0.16461296639868067
925,-0.10084776334776335
926,-0.1376494537208823
927,-0.17343073593073588
928,-0.14573283858998143
929,-0.1335446299732014
930,-0.1440605029890744
931,-0.1455988455988456
932,-0.07700989486703771
933,-0.046400226757369586
934,-0.03819573283859
935,-0.14281849103277672
936,-0.09486446093588952
937,-0.12597917955060808
938,-0.16890589569160996
939,-0.16120387548958975
940,-0.05079107400535969
941,-0.087953514739229
942,-0.11322665429808283
943,-0.13553133374561946
944,-0.1589002267573696
945,-0.12704339311482168
946,-0.1408034425891569
947,-0.08432024324881464
948,-0.14107400535971965
949,-0.07857915893630181
950,-0.11140744176458459
951,-0.1550659657802515
952,-0.08995310245310244
953,-0.11890589569160995
954,-0.15016233766233764
955,-0.17101370851370848
956,-0.08759791795506078
957,-0.160863739435168
958,-0.12633735312306738
959,-0.08663419913419912
